这节课我们来讲,微信被女生删除了黑之后怎么处理。
相信不少兄弟也遇到过这种情况,
这种情况就比较糟糕了,
有的兄弟看到这种情况之后就很焦躁,很焦虑,
不知道怎么办。
那么微信被女生删除了还有两种情况,
我们要分清楚这两种情况。
第一种情况其实就是假性拉黑,
也就是说这个女生她对你是感兴趣的,
但是她是个情绪特别大的人,
她可能因为你的,
她可能,就仅仅是因为自己的原因,
她可能心情不好,
然后这个时候你说了一句话,她不太喜欢,
她就直接把你拉黑了。
那么其实这个时候呢,
我们就直接不处理,
直接不处理,
因为情绪不稳定的人有一个特别大特征,
就是她情绪不稳定,
她能拉黑你,
她也会自己夹回来,
所以这个时候呢,我们就等就好了,
我们就等就好了。
那么如何判断女生对你,
是不是感兴趣呢?
那这个之后呢,
我们下一颗再讲。
第二种情况就是女生,
她这个时候还没有太喜欢你,
甚至是一点好感都没有,
她对你是无感的情况,
她这么生气了,
我们在聊天的时候真的触碰到了,
触碰到了她的一些底线的问题,
那么我们这个时候,
首先要通过其他的联系方式来联系到女生,
电话也好,私信也好,
微博也好,
这个碳碳也好,
当然最好是通过手机感性,
我们需要写一封网回信,
发送网回信最好,
不要选择刚刚拉黑之后的几个小时之内,
因为女生这个时候呢,
还在气头上,
如果你直接去,
这样发一封网回信给她,
她还在气头上,
她会更加的生气,对吧?
那么最好选择第二天的凌晨,
三四点钟,
为什么呢?
因为这样子显得,
因为这件事情而睡不着觉,
因为这件事情而失眠,
可想而知,
女生的这个行为对你来说很重要,
网回信的内容呢,
大概有以下几个要素,
第一,需要你回忆,
你觉得跟她在一起快乐的时光,
就是你可以先回忆一下,
刚刚跟你加到微信的时候,
我真的好开心,
或者说,
我们在某一天聊天,
聊的那个停了话题,
真的非常的有感触,
然后呢,
跟着聊天,
我真的觉得很快乐,对吧?
类似的这种回忆啊,
那这种回忆的参考,
罗智想写给那个,
周阳清的女孩,对吧?
虽然她的文笔呢,
比较幼稚,
但是呢,
她确实是一个,
非常很打动女人心的一个,
文章,
所以大家可以去看一下,
我只想那一篇拿好女孩,
那么其次呢,
需要你深沉的道歉,
因为什么问题而遭到她,
这个是肯定需要道歉的,
因为,
如果女生,
她选择去拉黑你,
一定是,
你在说某句话的时候,
触碰到她,触碰到她的底线,
第三呢,
也是最重要的,
也是最重要的,
很多兄弟都会犯,
就是说,
再往回,
在跟女生道歉的时候呢,
低生下气的,
好像在,
起求她的原谅一样,
然后慢慢的也变得贵切,
虽然呢,
是再往回她,
但是呢,
我们还是要有态度,
告诉她,
我虽然很爱你,
也不想错过你,
错过你呢,
我一定会很遗憾,
但是呢,
如果你还是选择不了,
不原谅我,
我也不会再打扰你,
我不会死身乱打,
所以呢,
一切的一切,
你的选择,
我都尊重你,
就是类似这种意思,
就是要告诉女生,
你不爱我,
那我也不会再纠缠你,
我不会像田狗一样,
对吧,
天天缠着你,
缠着你,
天天追着你,
再屁股后面道歉,
讨好,
因为这种起求得来的爱情呢,
你未来,
也是会很累的,
因为你的姿态很低,
你的框架变得很弱,
所以,
就是说,
挽回信这个东西,
你还是要有态度,
你真诚的,
真诚表达之后呢,
还是要有一个这个,
评证的态度,
