[20:12:34] GPU 运行库目录: ['C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cublas\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_nvrtc\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_runtime\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cudnn\\bin']
[20:12:34] 扫描文件夹: F:\Project\Life
[20:12:34] 共发现 499 个音视频文件
[20:12:34] 首次运行会下载模型，请耐心等待……
[20:12:40] 实际使用：模型 small  设备 cuda (float16)
[20:12:40] [1/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.mp4
[20:13:15]     完成（用时 35s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.txt
[20:13:15] [2/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.mp4
[20:14:09]     完成（用时 54s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.txt
[20:14:09] [3/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.mp4
[20:14:32]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.txt
[20:14:32] [4/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.mov
[20:14:55]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.txt
[20:14:55] [5/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.mov
[20:15:26]     完成（用时 31s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.txt
[20:15:26] [6/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.mov
[20:15:51]     完成（用时 25s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.txt
[20:15:51] [7/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.mov
[20:16:36]     完成（用时 45s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.txt
[20:16:36] [8/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.mov
[20:17:10]     完成（用时 34s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.txt
[20:17:10] [9/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.mov
[20:17:33]     完成（用时 22s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.txt
[20:17:33] [10/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.mp4
[20:18:17]     完成（用时 44s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.txt
[20:18:17] [11/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.mp4
[20:18:46]     完成（用时 29s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.txt
[20:18:46] [12/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.mp4
[20:19:16]     完成（用时 30s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.txt
[20:19:16] [13/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.mov
[20:19:35]     完成（用时 19s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.txt
[20:19:35] [14/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\6. 朋友圈建设_.mov
[20:19:49]     完成（用时 14s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\6. 朋友圈建设_.txt
[20:19:49] [15/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\7.撩妹的流程_.mov
[20:20:16]     完成（用时 27s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\7.撩妹的流程_.txt
[20:20:16] [16/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\8.搭讪基本框架_.mov
[20:21:19]     完成（用时 63s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\8.搭讪基本框架_.txt
[20:21:19] [17/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\9.微信聊天框架_.mov
[20:21:52]     完成（用时 33s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\9.微信聊天框架_.txt
[20:21:52] [18/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\-通过朋友圈看妹子感情状态，轻松撩到心仪女神！.mp3
[20:22:09]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\-通过朋友圈看妹子感情状态，轻松撩到心仪女神！.txt
[20:22:09] [19/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\01.这才是夸奖女生的正确方法.mp3
[20:22:34]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\01.这才是夸奖女生的正确方法.txt
[20:22:34] [20/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\02.这是95%的男生都不知道的撩妹聊天方法.mp3
[20:23:07]     完成（用时 33s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\02.这是95%的男生都不知道的撩妹聊天方法.txt
[20:23:07] [21/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\03.和妹子聊这样的话题让她瞬间喜欢你.mp3
[20:23:33]     完成（用时 26s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\03.和妹子聊这样的话题让她瞬间喜欢你.txt
[20:23:33] [22/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\04.聊这几个话题82%的女生都会主动找你.mp3
[20:24:01]     完成（用时 28s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\04.聊这几个话题82%的女生都会主动找你.txt
[20:24:02] [23/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\05.学会调动她的情绪 才能让她变成你的女朋友.mp3
[20:24:42]     完成（用时 40s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\05.学会调动她的情绪 才能让她变成你的女朋友.txt
[20:24:42] [24/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\06.拒绝好人卡！和妹纸滚床单的秘籍.mp3
[20:25:26]     完成（用时 44s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\06.拒绝好人卡！和妹纸滚床单的秘籍.txt
[20:25:26] [25/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\07.让聊天根本停不下来的聊妹黑科技.mp3
[20:26:02]     完成（用时 36s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\07.让聊天根本停不下来的聊妹黑科技.txt
[20:26:02] [26/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\08.这四个万能话题最容易吸引女生兴趣.mp3
[20:26:50]     完成（用时 48s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\08.这四个万能话题最容易吸引女生兴趣.txt
[20:26:50] [27/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\09.内向男生也可以快速上手的撩妹绝招.mp3
[20:27:23]     完成（用时 33s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\09.内向男生也可以快速上手的撩妹绝招.txt
